RED1,RED2,RED3,RED4,BLUE,OCCURRENCE,ISSUE
1,3,10,29,13,1,21079 
1,3,10,29,16,1,18135 
1,3,10,30,1,1,16044 
1,3,10,30,5,1,06118 
1,3,10,32,11,1,20113 
1,3,11,12,7,1,20058 
1,3,11,12,11,1,10017 
1,3,11,17,12,1,10078 
1,3,11,18,14,1,17023 
1,3,11,19,2,1,18049 
1,3,11,19,7,1,20058 
1,3,11,22,6,1,15128 
1,3,11,22,14,1,17023 
1,3,11,23,2,1,18049 
1,3,11,23,11,1,10017 
1,3,11,23,12,1,10078 
1,3,11,26,7,1,20058 
1,3,11,26,12,1,07041 
1,3,11,28,6,1,15128 
1,3,11,29,13,1,15150 
1,3,11,29,16,1,18135 
1,3,11,31,12,1,07041 
1,3,11,31,13,1,15150 
1,3,12,15,14,1,17110 
1,3,12,16,12,1,10028 
1,3,12,18,1,1,16044 
1,3,12,19,6,1,16145 
1,3,12,19,7,1,20058 
1,3,12,19,10,1,21133 
1,3,12,19,14,1,17110 
1,3,12,20,4,1,09072 
1,3,12,20,6,1,16145 
1,3,12,21,4,1,09072 
1,3,12,21,12,1,11070 
1,3,12,23,11,1,10017 
1,3,12,23,14,1,17110 
1,3,12,24,1,1,10110 
1,3,12,24,2,1,16079 
1,3,12,26,1,1,10110 
1,3,12,26,7,1,20058 
1,3,12,27,1,1,10110 
1,3,12,27,10,1,21133 
1,3,12,28,2,1,16079 
1,3,12,28,12,1,11070 
1,3,12,29,4,1,09072 
1,3,12,30,1,1,16044 
1,3,12,31,10,1,21133 
1,3,12,32,12,1,10028 
1,3,13,16,5,1,11006 
1,3,13,16,8,1,11013 
1,3,13,18,5,1,11006 
1,3,13,18,16,1,18040 
1,3,13,19,10,1,12010 
1,3,13,19,16,1,14072 
1,3,13,21,8,2,15093 11013 
1,3,13,22,8,1,11013 
1,3,13,23,16,1,18040 
1,3,13,25,8,1,15093 
1,3,13,25,10,1,12010 
1,3,13,26,10,1,12010 
1,3,13,30,12,1,14074 
1,3,13,31,8,1,15093 
1,3,13,31,12,1,14074 
1,3,13,32,7,1,10056 
1,3,13,32,16,1,14072 
1,3,14,18,1,1,03083 
1,3,14,19,3,1,19014 
1,3,14,19,16,1,09135 
1,3,14,24,7,1,04117 
1,3,14,25,7,1,04117 
1,3,14,26,1,1,03083 
1,3,14,26,2,1,10014 
1,3,14,26,9,1,18101 
1,3,14,28,1,1,03083 
1,3,14,28,2,1,10014 
1,3,14,29,9,1,18101 
1,3,14,30,8,1,16089 
1,3,14,30,16,1,09135 
1,3,14,31,8,1,16089 
1,3,14,32,8,1,16089 
1,3,14,33,3,2,19014 04116 
1,3,14,33,9,1,18101 
1,3,14,33,16,1,09135 
1,3,15,16,8,1,13130 
1,3,15,16,15,1,11109 
1,3,15,17,13,1,09005 
1,3,15,19,4,1,06074 
1,3,15,19,14,1,17110 
1,3,15,20,3,1,12130 
1,3,15,21,13,1,09005 
1,3,15,22,3,1,12130 
1,3,15,23,14,1,17110 
1,3,15,25,4,1,06074 
1,3,15,30,1,1,09031 
1,3,15,31,3,1,12130 
1,3,15,31,8,1,13130 
1,3,15,33,1,1,09031 
1,3,15,33,4,1,06074 
1,3,15,33,8,1,13130 
1,3,15,33,15,1,11109 
1,3,16,17,7,1,13066 
1,3,16,18,4,1,09149 
1,3,16,18,5,2,11006 07054 
1,3,16,18,12,1,10013 
1,3,16,20,7,1,13066 
1,3,16,21,8,1,11013 
1,3,16,22,4,1,09149 
